Unnamed: 0,title,topic_id,step_id,topological_index,url,text
10,If statement,406,5953,116,https://hyperskill.org/learn/step/5953,"There are situations when your program needs to execute some piece of code only if a particular condition is met. It's possible to set that condition in Python and, in this topic, we're gonna learn how!

Simple if statement
So, in Python, a piece of code that should be executed only under some condition should be placed within the body of an if statement. The pattern is the same as in the English language: first comes the keyword if , then a condition, and then a list of expressions to execute. The condition is always a Boolean expression, that is, its value equals either True or False. Here is one example of how the code with a conditional expression should look like:

Note that the condition ends with a colon and a new line starts with an indentation. Usually, 4 spaces are used to designate each level of indentation. A piece of code in which all lines are on the same level of indentation is called a block of code. In Python, only indentation is used to separate different blocks of code, hence, only indentation shows which lines of code are supposed to be executed when the if statement is satisfied, and which ones should be executed independently of the if statement. Check out the following example:

In this example, the line ""It's time for tea!"", as well as ""What tea do you prefer?"", will be printed only if there are 5 or more biscuits. The line ""What about some chocolate?"" will be printed regardless of the number of biscuits.
An if statement is executed only if its condition holds (the Boolean value is True), otherwise, it's skipped.
Boolean values basically make it clear whether a piece of code needs to be executed or not. Since comparisons result in bool, it's always a good idea to use them as a condition.

There is one pitfall, though. You should not confuse the comparison operator for equality == with the assignment operator =. Only the former provides for a proper condition. Try to avoid this common mistake in your code.

Nested if statement
Sometimes a condition happens to be too complicated for a simple if statement. In this case,  you can use so-called nested if statements. The more if statements are nested, the more complex your code gets, which is usually not a good thing. However, this doesn't mean that you need to avoid nested if statements at all costs. Let's take a look at the code below:

The example above illustrates a nested if statement. If the variable my_color is a string that contains the name of a color from the rainbow,  we enter the body of the first if statement. First, we print the message and then check if our color belongs to the warm colors. The membership operator in simply shows whether my_color is a substring of the respective string, rainbow or warm_colors. Just like arithmetic comparisons, it returns a boolean value.
Here is what we will see in our case:
Wow, your color is in the rainbow!
Oh, by the way, it's a warm color.
When it comes to nested if statements, proper indentation is crucial, so do not forget to indent each statement that starts with the if keyword.
Summary
To sum up, in this topic, we've learned how to write and nest conditions in Python with if-statements.
"
11,Else statement,407,5932,117,https://hyperskill.org/learn/step/5932,"Setting conditions is a pretty popular and useful tool in programming. However, sometimes just to check if a condition is true or not might not be enough. Let's say, you don't want a piece of code to execute if your condition is false, but, if that's the case, there is another piece of code you do want to execute. For situations like this Python has another powerful tool about which we're gonna learn in this topic!

Simple if-else
An if-else statement is another type of conditional expression in Python. It differs from an if statement by the presence of the additional keyword else. The block of code that else contains executes when the condition of your if statement does not hold (the Boolean value is False). Since an else statement is an alternative for an if statement, only one block of code can be executed. Also,  else doesn't require any condition:

Note that the 4-space indentation rule applies here too.
As you may soon find out, programmers do like all sorts of shortcuts. For conditional expressions, there's a trick as well – you can write an if-else statement in one line. This is called a ternary operator and it looks like this:

It's a matter of convenience, but remember that the code you create should still be readable.
Nested if-else
It should be mentioned that if-else statements can be nested the same way as if statements. An additional conditional expression may appear after the if section as well as after the else section. Once again, don't forget to indent properly:

Summary
In this topic, we've learned about one more type of conditional expression: if-else statement. Let's go through the main points again:

the keyword else is used to give an alternative;
it will be executed in case if statement isn't;
it doesn't require any condition;
if-else statements can be nested.

That's it! Now you are ready not only to set conditions but also to consider different alternatives. Congratulations!
"
12,List,395,5979,118,https://hyperskill.org/learn/step/5979,"In your programs, you often need to group several elements in order to process them as a single object. For this, you will need to use different collections. One of the most important and useful collections in Python is a list.
Creating and printing lists
Look at a simple list that stores several names of dogs' breeds:
In the first line, we use square brackets to create a list that contains four elements and then assign it to the dog_breeds variable. In the second line, the list is printed through the variable's name. All the elements are printed in the same order as they were stored in the list because lists are ordered.
Here is another list that contains five integers:
Another way to create a list is to invoke the list function. It is used to create a list out of an iterable object: that is, a kind of object where you can get its elements one by one. The concept of iterability will be explained in detail further on, but let's look at the examples below:
So, the list function creates a list containing each element from the given iterable object. For now, remember that a string is an example of an iterable object, and an integer is an example of a non-iterable object. A list itself is also an iterable object.
Let's also note the difference between the list function and creating a list using square brackets:
The square brackets and the list function can also be used to create empty lists that do not have elements at all.
In the following topics, we will consider how to fill empty lists.
Features of lists
Lists can store duplicate values as many times as needed.
Another important thing about lists is that they can contain different types of elements, including other lists. So there are neither restrictions nor fixed list types, and you can add any data you want to your list, as in the following example:
Length of a list
Sometimes you need to know how many elements there are in a list. There is a built-in function called len() that can be applied to any iterable object, and it simply returns the length of that object.
So, when applied to a list, it returns the number of elements in that list:
In the example above, you can see how the len() function works. Again, pay attention to the difference between list() and [] as applied to strings: it may not result in what you expected.
Summary
As a recap, we note that lists are:
*   ordered, i.e. each element has a fixed position in a list;
*   iterable, i.e. you can get their elements one by one;
*   able to store duplicate values;
*   able to store different types of elements;
*   besides being used for creating an empty list, the list() function also can be used to make a list out of an iterable object.

Read more on this topic in Python range function and its methods on Hyperskill Blog.
"
13,Indexes,435,6189,119,https://hyperskill.org/learn/step/6189,"There are several types of collections to store data in Python. Positionally ordered collections of elements are usually called sequences, and both lists and strings belong to them. Each element in a list, as well as each character in a string, has an index that corresponds to its position. Indexes are used to access elements within a sequence. Indexing is zero-based, so if you see a person who counts from zero, you must have met a programmer.
Indexes of elements
To access an element of a list by its index, you need to use square brackets. You add the brackets after the list and, between them, you write the index of an element you want to get.
Don't forget, the indexes start at 0, so the index of the first element is 0. The index of the last element is equal to len(list) - 1.
Strings work in the same way:
Potential pitfalls
When using indexes, it's important to stay within the range of your sequence: you'll get an error (called IndexError) if you try to access an element with a non-existing index!
There is one more obstacle in your way. Imagine that you want to change one of the elements in a list. It can be easily done:
However, when it comes to strings, such reassignment is impossible. Strings, unlike lists, are immutable, so you can't modify their contents with indexes:
Don't worry, after some practice, you will not encounter these errors.
Negative indexes
The easier way to access the elements at the end of a list or a string is to use negative indexes: the minus before the number changes your perspective in a way and you look at the sequence from the end. So, the last element of a list, in this case, has the index equal to -1, and the first element of the list has the index -len(list) (the length of the list).
For example:
As you can see, it works the same for lists and strings.

If you write a non-existing negative index, you'll also get IndexError. Be careful with indexes to avoid off-by-one errors in your code.

The following picture shows the general concept of indexes in a list:

Summary
In this topic, we've learned what positive and negative indexes are in Python, how to find elements in a list by their indexes, and what errors might occur when using them. Since you have learned the concept of indexes, we hope that from now on you will not encounter any difficulties when using them!
"
14,For loop,429,6065,120,https://hyperskill.org/learn/step/6065,"Computers are known for their ability to do things that people consider to be boring and energy-consuming. For example, repeating identical tasks without any errors is one of these things. In this topic, we'll learn what Python tool can help you with that, how to implement it, and what functions you can use along with it.
What is iteration?
In Python, the process of repetitive execution of the same block of code is called an iteration.
There are two types of iteration:
Definite iteration, where the number of repetitions is stated in advance.
Indefinite iteration, where a code block executes as long as the condition stated in advance is true.
After the first iteration, the program comes back to the beginning of the code's body and repeats it, making a so-called loop. The most popular is the for loop, named after the for operator, which provides the code's execution. For loops are usually considered to be definite.
For loop syntax
Here is the scheme of the loop:
where statement is a block of operations executed for each item in iterable, an object used in iteration (e.g., a string or a list). Variable takes the value of the next item from the iterable after each iteration.
Now try to guess what output we'll get if we execute the following piece of code:
During each iteration, the program will take one item from the list and execute the statements on it, so the final output will be:
Atlantic
Pacific
Indian
Southern
Arctic
Strings are also iterable, so you can spell a word, for example:
 Like this:
m
a
g
i
c
Range function
The range() function can be used to specify the number of iterations. It returns a sequence of numbers from 0 (by default) and ends at a specified number. Be careful: the last number won't be in the output since we started from 0.
Let's look at the example below:
What we'll get is this:
0
1
2
3
4
You can change the starting value if you're not satisfied with 0, moreover, you can configure the increment (step) value by adding a third parameter:
According to the parameters included, we've asked to print the numbers from 5 to 45 with an increment value of 10. Be careful again, the last value is not included in the output:
5
15
25
35
If you're not going to use the counter variable in your loop, you can show it by replacing its name with the underscore symbol:
In the example above, we don't need the counter variable in any way, we simply use the loop to repeat the do_smth() function a given number of times.
Input data processing
You can also use the input() function that helps the user to pass a value to some variable and work with it. Thus, you can get the same output as with the previous piece of code:
Oh, look, you can write a piece of code with a practical purpose:
You can, therefore, ask the user to specify the number of iterations to be performed.
Nested loop
In Python, it is easy to put one loop inside another one – a nested loop. The type of the inner and outer loops doesn't matter, the first to execute is the outer loop, then the inner one executes:
The output is shown below:
Rose Miller
Rose Smith
Daniel Miller
Daniel Smith
Check out the Python Tutor visualization for a better understanding of how the code works. Click Next> and follow the arrows. In this example, we use two for loops to create fictional people's names. You can deal with iterable objects of different sizes without too much fuss.
Conclusion
All in all, for loops are an efficient way to automate some repetitive actions. You can add variables and operations to make a nested loop. Moreover, you can control the number of iterations with the help of the range() function. Be careful with the syntax: an extra indent or the lack of a colon can cause an error!
Read more on this topic in Python range function and its methods on Hyperskill Blog.
"
15,Integer arithmetic: special operations,4410,47917,130,https://hyperskill.org/learn/step/47917,"In Python, operators are fundamental tools for performing various operations on data. Two operators that offer unique functionalities are the modulus operator % and the exponentiation operator **.

Modulus Operator (%): This operator calculates the remainder of a division operation. For example, 7 % 3 returns 1, as 7 divided by 3 equals 2 with a remainder of 1.

Exponentiation Operator (**): This operator raises a number to a power. For instance, 2 ** 3 results in 8, as 2 raised to the power of 3 equals 8.

Understanding the precedence of operators is crucial for determining the order in which operations are performed. In Python, the precedence hierarchy is as follows (from highest to lowest precedence):

Parentheses > Exponentiation > Multiplication = Division = Integer Division = Modulo > Addition = Subtraction

Parentheses can be used to override the default precedence and force operations to occur in a specific order.

By mastering the usage and precedence of these operators, you gain the ability to manipulate data effectively and efficiently in Python.
"
16,PEP 8: Coding style guide,402,47499,131,https://hyperskill.org/learn/step/47499,Error extracting text: 429 Resource has been exhausted (e.g. check quota).
17,Comments,403,6081,132,https://hyperskill.org/learn/step/6081,"Sometimes you need to explain what particular parts of your code are for. Luckily, Python allows you to fulfill your needs. You can leave special notes called comments. They are especially useful for beginners. Throughout this course, we will often use comments to explain our examples.

What is a comment?

Python comments start with a hash, #. Everything after the hash up to the end of the line is regarded as a comment and will be ignored when running the code.

In the example above, you can see what PEP 8 calls an inline comment. It's a comment written on the same line as the code.

A comment can also refer to the block of code that follows it:

We intend to use comments primarily for learning purposes. Now, it's time to find out how to comment code properly.

Formatting comments

Although it is easy to write a comment, let's discuss how to do so according to the best practices.

To begin with, there should be one space after a hash mark. For inline comments, there should be two spaces between the end of the code and the hash sign. Putting more than two spaces between the end of the code and the hash mark is acceptable, but most commonly, there are exactly two spaces.

Indent your comment to the same level as the statement it explains. E.g., the following example is wrong:

A comment is not a Python command: it should not be too long. Following PEP-8, the comment length should be limited to 72 characters. It's better to split a long comment into several lines. You can do so by adding a hash mark at the beginning of each new line:

Comments that span multiple lines are called multi-line or block comments. In Python, there is no special way to indicate them.

You may come across multi-line comments enclosed in triple quotes: """"""..."""""". Nonetheless, we recommend that you use several lines starting with hash marks for this purpose. Then, your code will comply with the official style guide. Triple quotes are reserved for documentation strings, docstrings for short. They are also informative, but their use is limited to functions, methods and several other cases.

We hope our comments will help you understand our code examples better!

Summary

In this topic, we learned what comments are and what they're used for. The main points are:

Comments are used to explain what particular parts of your code are for.
Comments start with a hash, #.
Comments are ignored during the execution of the code.
Comments might be above a piece of code, inline, or form a block.

There are specific comment formatting rules you should follow according to PEP 8:

There should be one space after a hash mark.
For inline comments, there should be two spaces between the end of the code and the hash mark.
The comment length should be limited to 72 characters. You can split a long comment into several lines forming a block.
Indent your comment to the same level as the statement it explains.
"
18,Declaring functions,401,5900,133,https://hyperskill.org/learn/step/5900,Error extracting text: 429 Resource has been exhausted (e.g. check quota).
19,Importing modules,414,6019,134,https://hyperskill.org/learn/step/6019,Error extracting text: 429 Resource has been exhausted (e.g. check quota).
20,Creating modules,421,6057,135,https://hyperskill.org/learn/step/6057,Error extracting text: 429 Resource has been exhausted (e.g. check quota).
21,Multiple modules. Package,466,6384,136,https://hyperskill.org/learn/step/6384,"The process of building web applications has been greatly simplified in today's world. One of the factors that has made this possible is the ability to reuse code. Can you imagine having to write your own function that generates a random number? While it is possible to write it, given that such functionality is already built out, you would rather spend more time on the unknown aspects of your application. Packages are an effective method that has contributed greatly to enabling code reusability.
In this topic, we will focus on learning and understanding what packages are and how they can be created and used.
What is a package and how to get one?
Each package is a collection of typically related modules and sub-packages stored under the same directory that contains an __init__.py file. The purpose of the __init__.py file is to mark the directory as a package. Packages are extremely handy as they enhance code organization in a hierarchical manner, promote code reuse, distribution, and encapsulation.
Below is a toy example of a laptop package: it contains 2 modules (dell.py and hp.py) and the Apple subpackage with its 2 modules (macbookair.py and macbookpro.py):

The standard package manager for Python is called pip. It is used for installing, upgrading, and generally managing Python packages from the Python Package Index (PyPI). PyPI is the software repository for the Python programming language where all Python packages are shared, you can think of it as of a central storage place.
With current Python versions, pip is usually included by default. You can use the following command to verify whether pip is installed in your system:

You can use the following command to install:

To install a package using pip use the following command:

For example, to install the numpy package you would use:

Using an installed package: import
In order to incorporate an installed package into your program, you need to import it. Assuming we have installed the numpy package, we can use the import keyword to include it like so:

This avails all the modules and sub-modules in the numpy package, as well as all the functions and declarations.
As a means to improve readability import is commonly used with aliases to give programmers a chance to write more descriptive code suited to their needs, or to replace excessively long package names. Alias can be declared using the askeyword, as shown below:

This way you can use all those aliases inside your code. It is important to note that, while using import the last attribute should be a module or a subpackage, consequently, functions and class names cannot be used directly with import.
After imports with aliases you can then use them in your code as such:


Using an installed package: from … import
Packages can also be imported using from keyword combined with import: it allows to import specific modules or subpackages without clogging up the namespace with unnecessary declarations. If we already know which functions or classes we'll need for our program, we can explicitly import only those, without importing any other declarations from the same module or subpackage. Let's consider our example from the previous section and import only the specific functions and classes we'll definitely use:

Now our program will look as such:


Note how we can only use explicitly imported declarations. It is also important to mention that now the last attribute should be a module, a subpackage or a function/class, as shown above.
If you want to import all entities from a package or a subpackage, you can do so with the following syntax and then use them as such:


Such imports are called wildcard imports. It is really handy in terms of writing code, since you no longer need to specify the package name to which an entity belongs. However, it could make debugging quite difficult since pinpointing the specific function with the error is a hassle.
Relative imports
Relative imports allow you to import modules or packages that are located in the same directory and depend on the current location of the module or package to be imported. They make use of the dot notation: a single dot means the module or package being imported is in the same directory as the current directory, while two dots would mean it is in the parent directory of the current location.
From our laptop example, for us to import the dell.py module into the hp.py module we would use

since they are located in the same directory. At the same time, in order to import the dell.py file into the macbookpro.py file, we would use

It is important to note that relative imports are mostly useful when developing larger projects and therefore they may not work when using them in standalone scripts.
PEP Time!
Please note that, according to PEP 8, using wildcard imports is considered bad practice, as they make it unclear which names are present in the namespace, confusing both readers and automated tools. Absolute imports are recommended, as they are usually more readable. They also give better error messages if something goes wrong.


Explicit relative imports are also acceptable, especially when dealing with complex package layouts where using absolute imports would be unnecessarily verbose:


Standard library code should avoid complex package layouts and always use absolute imports.
Multiple packages and Virtual environment
When you check the Python Package Index (PyPI), you will notice that most packages have different versions. This is due to constant upgrades made to the packages to improve their functionality. It is therefore a good convention to make use of the virtual environment when using multiple packages. A virtual environment gives you the ability to separate packages for your different Python projects, as well as isolate them from the global Python environment. Let's say you have two different projects that use the numpy package. Project 1 uses numpy 1.24, while Project 2 uses numpy 1.19. A virtual environment makes it possible to have these two different versions of the same package coexist without conflicts. It acts like a barrier that isolates one version from the other.
Conclusion
In this topic, we learned what a package is and what is its purpose. We went ahead and saw how to create a package and different ways of importing packages. We also explored why it is important to use the virtual environment when using multiple packages. Packages are an essential part of programming and we must understand how they work, and how we can use them to make our programs more efficient.
"
